TX_ID,CORE_ACC_SRC,CORE_ACC_TGT,RAW_AMOUNT,CURR,TX_DATETIME,RAW_CHANNEL,TX_TYPE_CODE,CLIENT_NOTE
TX-9001,1000000001,1000000002,"$ 1,500.00",USD,2026/09/15 08:30:00,ATM_POS,01,Pago de servicios
TX-9002,1000000002,1000000003,320.50,usd,15-09-2026 09:12:15,WEB_APP,02,Transferencia a comercio
TX-9003,1000000003,1000000001,"$ 4,200.00",,2026-09-15T11:45:00Z,MOBILE,01,
TX-9004,1000000004,1000000002,NaN,USD,2026.09.15 14:00:22,BRANCH,99,Error en taquilla
TX-9005,1000000001,1000000004,85.00,USD,2026/09/16 19:30:11,POS,03,Cena restaurante
TX-9006,1000000005,1000000003,"$ 12,500.00",USD,2026-09-17 10:00:00,BATCH_CORE,01,Pago Proveedor Tech
TX-9007,,1000000001,50.00,USD,2026-09-17 12:00:00,UNKNOWN,,Transaccion huerfana
TX-9008,1000000002,1000000001,250.00,USD,2026/09/18 15:45:00,WEB_APP,02,Compra supermercado
TX-9009,1000000004,1000000005,"$ 3,100.00",usd,18-09-2026 16:30:10,MOBILE,01,Inversion CDT
TX-9010,1000000003,1000000002,95.50,USD,2026-09-19 20:10:00,POS,03,Cine y recreacion
TX-9011,1000000001,1000000003,1500.00,USD,2026-09-20 09:00:00,WEB_APP,01,Abono mensual
TX-9001,1000000001,1000000002,"$ 1,500.00",USD,2026/09/15 08:30:00,ATM_POS,01,Pago de servicios (Duplicado)
